LSOA,Income,Employment,Education,Health,Crime,Housing,Living,IDACI,IDAOPI,Children,Adult,Geographical,Wider,Indoors,Outdoors
E01014495,0.106,0.104,25.96,0.445,0.665,17.584,18.647,0.127,0.146,0.356,0.358,-0.767,1.631,0.314,-0.373
E01014616,0.039,0.044,2.038,-0.676,0.005,7.348,18.745,0.016,0.068,-0.856,0.106,-0.988,-0.698,0.298,-0.316
E01014632,0.116,0.091,20.306,0.26,1.177,27.99,19.244,0.167,0.174,0.368,0.292,0.119,2.148,0.156,0.089
E01014881,0.02,0.023,2.248,-0.969,-0.378,23.709,5.487,0.023,0.102,-1.008,0.161,0.705,-1.268,-1.405,-0.133
E01014883,0.038,0.041,3.075,-0.949,-0.944,18.328,2.98,0.06,0.044,-0.941,0.184,0.324,-0.93,-1.158,-0.72
E01014905,0.036,0.037,15.877,-0.962,0.39,13.259,14.423,0.043,0.051,0.142,0.273,-0.361,-0.002,0.162,-0.747
E01014947,0.049,0.077,28.37,-0.075,-0.32,22.68,5.39,0.043,0.043,0.508,0.361,0.584,-0.926,-0.73,-0.57
E01014974,0.078,0.069,16.162,-0.741,0.097,10.353,13.375,0.086,0.101,0.115,0.282,-0.741,-0.114,0.052,-0.576
E01015017,0.074,0.083,17.843,-0.263,0.473,12.035,1.647,0.054,0.107,0.074,0.31,-0.31,-0.46,-1.3,-1.076
E01033348,0.237,0.148,34.907,0.779,2.405,32.947,33.587,0.367,0.49,1.17,0.288,-1.069,4.531,0.719,0.445
E01033356,0.316,0.2,61.903,1.372,0.844,28.967,19.503,0.366,0.439,1.544,0.465,-0.87,3.911,-0.089,0.517
E01033358,0.302,0.192,58.842,1.48,1.442,33.898,32.164,0.434,0.495,1.522,0.443,-0.581,4.379,0.646,0.475
E01033359,0.178,0.163,19.252,2.026,1.58,31.675,25.779,0.263,0.425,0.485,0.252,-0.742,4.199,0.341,0.464
E01033364,0.11,0.059,21.372,0.716,0.844,16.304,30.122,0.132,0.266,0.788,0.187,-1.339,1.687,0.756,-0.056
E01014683,0.212,0.152,21.443,0.927,0.807,26.997,27.118,0.241,0.337,0.35,0.31,-0.521,3.26,0.62,-0.032
E01014689,0.345,0.258,88.158,1.362,1.567,24.595,22.457,0.388,0.413,2.124,0.561,-0.791,3.093,0.412,-0.071
E01015004,0.083,0.098,22.171,-0.464,0.51,22.053,4.709,0.115,0.094,0.46,0.299,0.462,-0.49,-0.965,-0.46
E01033352,0.141,0.079,22.631,1.113,0.76,36.404,35.074,0.379,0.482,0.852,0.187,0.017,3.969,0.858,0.209
E01033366,0.342,0.191,43.04,0.599,1.346,33.198,12.919,0.38,0.605,1.04,0.407,-0.718,4.39,-0.583,0.345
